INGI,INGLES I
QUI,QUIMICA INORGANICA
ALL,ALGEBRA LINEAL
PRE,PROBABILIDAD Y ESTADISTICA
OFI,OFIMATICA
FIS,FISICA
ALG,ALGORITMOS
ELM,ELECTRICIDAD Y MAGNETISMO
ADM,ADMINISTRACION
MAD,MATEMATICAS DISCRETAS
MIC,MICROECONOMIA
INF,INTRODUCCION A LAS FINANZAS
MEF,MERCADOTECNIA FINANCIERA
HCA,HERRAMIENTAS COMPUTACIONALES AVANZADAS
INGII,INGLES II
TER,TERMODINAMICA
QUO,QUIMICA ORGANICA
QUA,QUIMICA ANALITICA
MEI,METODOLOGIA DE LA INVESTIGACION
CDI,CALCULO DIFERENCIAL E INTEGRAL
INE,INTELIGENCIA EMOCIONAL
CAV,CALCULO VECTORIAL
PRES,PROGRAMACION ESTRUCTURADA
FUR,FUNDAMENTOS DE REDES
TEP,TECNICAS DE PROGRAMACION
MAC,MACROECONOMIA
INI,INTRODUCCION A LA INGENIERIA
MAF,MATEMATICAS FINANCIERAS
COF,CONTABILIDAD FINANCIERA
ADE,ADMINISTRACION ESTRATEGICA
ANI,ANALISIS INSTRUMENTAL
EQQ,EQUILIBRIO QUIMICO
INGIII,INGLES III
DEI,DESARROLLO INTERPERSONAL
BCM,BIOLOGIA CELULAR Y MOLECULAR
CPB,CALIDAD DEL PRODUCTO BIOTECNOLOGICO
AQC,ANALISIS QUIMICO CUANTITATIVO
ECD,ECUACIONES DIFERENCIALES
INO,INVESTIGACION DE OPERACIONES
POO,PROGRAMACION ORIENTADA A OBJETOS
RED,REDES
SID,SISTEMAS DIGITALES
EOE,EXPRESION ORAL Y ESCRITA
INM,INTRODUCCION A LAS MATEMATICAS
INA,INTRODUCCION A LA ADMINISTRACION
FUC,FUNDAMENTOS DE CONTABILIDAD
HEO,HERRAMIENTAS DE OFIM?TICA
DEC,DERECHO CORPORATIVO
ADF,ADMINISTRACION FINANCIERA
ESF,ESTRUCTURA FINANCIERA
INP,INGENIERIA DEL PRODUCTO
ALO,ASPECTOS LEGALES DE LA ORGANIZACION
INGIV,INGLES IV
INGV,INGLES V
INGVI,INGLES VI
INGVII,INGLES VII
INGVIII,INGLES VIII
INGIX,INGLES IX
HAP,HABILIDADES DEL PENSAMIENTO
MIG,MICROBIOLOGIA GENERAL
AND,ANALISIS DIFERENCIAL
BIM,BIOQUIMICA MICROBIANA
BME,BALANCE DE MATERIA Y ENERGIA
EBIOI,ESTANCIA I
EBIOII,ESTANCIA II
ESBIO,ESTADIA
EFINI,ESTANCIA I
EFINII,ESTANCIA II
ESFIN,ESTADIA
ESOFI,ESTANCIA I
ESOFII,ESTANCIA II
ESSOF,ESTADIA
EPYMI,ESTANCIA I
EPYMII,ESTANCIA II
ESPYM,ESTADIA
HAO,HABILIDADES ORGANIZACIONALES
MIA,MICROBIOLOGIA APLICADA
MEN,METODOS NUMERICOS
GEM,GENETICA MOLECULAR
FMC,FENOMENOS DE TRANSPORTE DE MOMENTO Y CALOR
DIE,DISENO DE EXPERIMENTOS
ETP,ETICA PROFESIONAL
OPU,OPERACIONES UNITARIAS
PIP,PLANEACION E IMPLEMENTACION DE LA PRODUCCION
ING,INGENIERIA GENETICA
FTM,FENOMENOS DE TRANSPORTE DE MASA
INBI,INGENIERIA DE BIOPROCESOS
CEP,CONTROL ESTADISTICO DEL PROCESO
VCP,VERIFICACION Y CONTROL DE LA PRODUCCION
INBII,INGENIERIA DE BIORREACTORES
BMF,BIOTECNOLOGIA MEDICA Y FARMACEUTICA
BIMI,BIOTECNOLOGIA MARINA
BIV,BIOTECNOLOGIA VEGETAL
PRB,PROCESOS DE BIOSEPARACION
INPI,INGENIERIA DE PROYECTOS
BIAL,BIOTECNOLOG?A ALIMENTARIA
DBA,DESARROLLO DE BIOPRODUCTOS Y ALIMENTOS
BIAM,BIOTECNOLOGIA AMBIENTAL
